Série évolutive des décès par mois, selon différentes sources, population totale*,,,,,,,,,,,,,,,
ANNEES,,Janvier*,Février*,Mars*,Avril*,Mai*,Juin*,Juillet*,Août*,Septembre*,Octobre*,Novembre*,Décembre*,,TOTAL*
2017,,11828,10516,9419,8459,9097,8221,8227,8236,8108,8769,8638,10111,,109629
2018,,10360,10089,12202,8971,8559,7793,8918,8499,8044,8666,8729,9815,,110645
2019,,10468,9766,9998,8901,8829,8276,8755,8242,8003,8888,8867,9752,,108745
2020,,10217,9387,11586,15449,9449,7992,8004,9847,8189,10752,14035,11943,,126850
2021,,10698,8952,9349,9468,9201,8150,8467,8274,8309,9772,10304,11347,,112291
2022****,,10477,9862,10538,10313,9151,8726,9017,9196,8617,9632,9006,11869,,116404
,,,,,,,,,,,,,,,
* Les données  sont issues de différentes sources:,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Dans le tableau "l'évolution du taux brut de mortalité" et pour le total dans ce tableau, les chiffres proviennent des décès enregistrés dans le mouvement de la population, ,,,,,,,,,,,,,,,
ces chiffres ne sont disponibles que sur une base annuelle dans les archives. ,,,,,,,,,,,,,,,
Dans le tableau historique, les chiffres par mois proviennent des décès basés sur les certificats de décès (bulletins),,,,,,,,,,,,,,,,
car ces chiffres sont également disponibles sur une base mensuelle. Les deux sources aboutissent dans certains cas à des résultats légèrement différents.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Chiffres mensuels:,,,,,,,,,,,,,,,
De 1840 à 1991:,,Les données sont extraites des annuaires statistiques - les chiffres sont liés aux bulletins individuels.,,,,,,,,,,,,,
De 1840 à 1954:,,Bulletins individuels  - décès de fait **,,,,,,,,,,,,,
De 1955 à 1991:,,Bulletins individuels  - décès de droit***,,,,,,,,,,,,,
De 1992 à présent:,,Les données sont extraites du Registre national - les chiffres sont liés au mouvement de la population.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Totaux annuels:,,,,,,,,,,,,,,,
De 1840 à 1991:,,Les données sont extraites des annuaires statistiques - les chiffres sont liés au mouvement de la population.,,,,,,,,,,,,,
De 1992 à présent:,,Les données sont extraites du Registre national - les chiffres sont liés au mouvement de la population.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Définitions: ,extraites de l'annuaire statistique de la Belgique 1956, page pdf 15/584,,,,,,,,,,,,,,
***,Le décès de droit est celui:,,,,,,,,,,,,,,
,1. Survenu sur le territoire même de la commune où réside le décédé;,,,,,,,,,,,,,,
,2. Qui s'est produit sur le territoire d'une commune autre que celle où réside le décédé (ou à l'étranger),,,,,,,,,,,,,,
, et dont l'officier de l'état civil de cette dernière localité a pris connaissance par extrait d'acte ou copie d'acte transmis par son collègue de la commune où le décès a eu lieu.,,,,,,,,,,,,,,
**,Les décès de fait:,,,,,,,,,,,,,,
,Le décès de fait est celui survenu sur le territoire de la commune et dont l'officier de l'état civil a dressé acte.,,,,,,,,,,,,,,
,Le lieu de résidence du décédé n'entre pas ici en ligne de compte.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Notes:,Les décès de fait n'ont pas été relevés pendant la guerre 1914-1918.,,,,,,,,,,,,,,
,Jusqu'en 1954 pour cette variable, décès de fait survenus pendant l'année sur le territoire national. ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
**** Les chiffres de l'année 2022 sont provisoires et sont basés sur l'extraction du Registre National à la date de 14/01/2023. (Les chiffres définitifs seront publiés au 8 juin 2023.),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Source: Statbel (Direction générale Statistique – Statistics Belgium ),,,,,,,,,,,,,,,
Bron: Statbel (Algemene Directie Statistiek – Statistics Belgium ),,,,,,,,,,,,,,,
Source: Statbel (Directorate-general Statistics – Statistics Belgium ),,,,,,,,,,,,,,,
