"Serbia",101557,116850,15293,15.06,18633.33,18600,27950,24250,5700,10700,14375,11400,14650,13800,31100,14433.33,30100,12175,40,11133.33,12,"M"
"Seszele",807,668,-139,-17.22,13550,4466.67,12500,8325,2500,2666.67,2600,24575,20625,0,33800,19533.33,29200,7500,0,5400,12,"M"
"Singapur",21364,22054,690,3.23,12600,19100,26550,19850,0,11500,7450,26325,24750,25600,36500,23966.67,34700,26475,40,24733.33,12,"M"
"Słowacja",53626,58218,4592,8.56,20933.33,14133.33,18600,21112.5,4050,8066.67,12300,19475,20850,28900,31225,22966.67,36600,20550,120,25066.67,52,"T"
"Słowenia",20488,23745,3257,15.9,18933.33,15966.67,28800,24012.5,9350,6900,10500,20000,18400,20550,30300,20200,26100,17800,240,17600,52,"T"
"Stany Zjednoczone",2845854,3353789,507935,17.85,25166.67,17866.67,22400,23750,8575,11966.67,21850,24325,21000,14000,29100,30133.33,17300,20950,360,20800,52,"T"
"Surinam",3859,3971,112,2.9,23283.33,14433.33,28650,26275,15250,18483.33,13225,25200,11400,21400,29300,15000,14600,16950,0,18600,12,"M"
"Szwajcaria",67202,75235,8033,11.95,9600,17033.33,26825,23625,0,5700,4050,21800,20325,3700,30650,21933.33,27800,12875,180,22383.33,52,"T"
"Szwecja",90238,97222,6984,7.74,15183.33,10966.67,28650,22650,13750,9400,6050,22875,22200,9200,31900,18233.33,19400,0,200,28416.67,52,"T"
"Tadżykistan",33118,42626,9508,28.71,4566.67,3400,25800,19000,6450,1516.67,4275,26300,9800,12050,31750,11066.67,16750,19525,0,0,12,"M"
"Tajlandia",489876,501438,11562,2.36,16700,13233.33,18650,16375,5925,9533.33,17475,23550,27500,23350,30100,18333.33,25900,16812.5,0,10366.67,12,"M"
"Tajwan",174540,173156,-1384,-0.79,11633.33,0,3200,0,0,0,0,28725,6375,14850,35600,29666.67,34600,13875,0,16133.33,12,"M"
"Tunezja",69212,75058,5846,8.45,21166.67,9766.67,18150,17000,3900,9866.67,14100,23125,14300,28600,29600,10166.67,19650,11200,0,13133.33,12,"M"
"Ukraina",584390,616835,32445,5.55,27250,14933.33,13575,16287.5,20875,9700,23175,18850,7375,14100,30400,22533.33,26650,20150,0,19250,12,"M"
"Urugwaj",34468,32638,-1830,-5.31,15500,10733.33,27900,6375,5800,4900,7100,24800,14925,28800,29300,22466.67,14600,10900,0,17966.67,12,"M"
"Uzbekistan",154742,175637,20895,13.5,19650,15966.67,22150,21125,10125,12700,9050,22150,13750,14150,34600,11266.67,29200,16475,0,16833.33,12,"M"
"Węgry",129945,139751,9806,7.55,18483.33,13783.33,22400,14900,10350,11400,11050,26625,12400,21750,30700,12966.67,31950,10737.5,120,15866.67,52,"T"
"Wielka Brytania",606921,685124,78203,12.89,20466.67,21516.67,28775,27450,14350,9800,20450,10550,28550,28900,34100,19166.67,19550,12337.5,1440,25516.67,52,"T"
"Włochy",640924,740524,99600,15.54,26350,22916.67,31050,22225,7075,18900,25450,25450,14250,25150,33600,21533.33,33600,23800,200,24250,52,"T"
"Wyspy Owcze",403,366,-37,-9.18,5100,19666.67,25350,15000,2675,0,0,13625,14600,29200,27700,28366.67,26600,2100,40,23733.33,12,"M"
