DATAFLOW,CSE_RATE: Rate,CSE_FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,CSE_OBS_STATUS: Observation Status,CSE_OBS_NOTE: Observation Note
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CBR: Crude Birth Rate,A: Annual,1988-A1,15.8,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CBR: Crude Birth Rate,A: Annual,1989-A1,15.8,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CBR: Crude Birth Rate,A: Annual,1990-A1,15.1,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CBR: Crude Birth Rate,A: Annual,1991-A1,14.8,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CBR: Crude Birth Rate,A: Annual,1992-A1,15.1,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CBR: Crude Birth Rate,A: Annual,1993-A1,14.1,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CBR: Crude Birth Rate,A: Annual,1994-A1,13.1,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CBR: Crude Birth Rate,A: Annual,1995-A1,12.4,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CBR: Crude Birth Rate,A: Annual,1996-A1,13.3,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CBR: Crude Birth Rate,A: Annual,1997-A1,12.9,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CBR: Crude Birth Rate,A: Annual,1998-A1,11.9,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CBR: Crude Birth Rate,A: Annual,1999-A1,11.4,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CBR: Crude Birth Rate,A: Annual,2000-A1,11.1,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CBR: Crude Birth Rate,A: Annual,2001-A1,10.1,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CBR: Crude Birth Rate,A: Annual,2002-A1,9.9,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CBR: Crude Birth Rate,A: Annual,2003-A1,10.1,,
