1984-11,43937,
1984-12,47456,542490
1985-01,57357,
1985-02,47112,
1985-03,51271,
1985-04,45653,
1985-05,45269,
1985-06,41673,
1985-07,43230,
1985-08,41105,
1985-09,40213,
1985-10,43963,
1985-11,47412,
1985-12,48238,552496
1986-01,51466,
1986-02,52732,
1986-03,53666,
1986-04,45204,
1986-05,43594,
1986-06,43632,
1986-07,42198,
1986-08,40821,
1986-09,41165,
1986-10,42798,
1986-11,42894,
1986-12,46756,546926
1987-01,51229,
1987-02,43613,
1987-03,45600,
1987-04,43337,
1987-05,43786,
1987-06,42176,
1987-07,42516,
1987-08,41422,
1987-09,39308,
1987-10,43554,
1987-11,43478,
1987-12,47447,527466
1988-01,46740,
1988-02,43408,
1988-03,47762,
1988-04,43770,
1988-05,42715,
1988-06,41272,
1988-07,41457,
1988-08,41105,
1988-09,40145,
1988-10,44085,
1988-11,43970,
1988-12,48171,524600
1989-01,48428,
1989-02,43397,
1989-03,45384,
1989-04,42154,
1989-05,43099,
1989-06,41112,
1989-07,42710,
1989-08,40663,
1989-09,40376,
1989-10,45098,
1989-11,43021,
1989-12,53841,529283
1990-01,56059,
1990-02,43208,
1990-03,44491,
1990-04,43217,
1990-05,41355,
1990-06,40266,
1990-07,42461,
1990-08,41681,
1990-09,38997,
1990-10,43401,
1990-11,42871,
1990-12,48194,526201
1991-01,47211,
1991-02,46308,
1991-03,45463,
1991-04,42788,
1991-05,42962,
1991-06,40314,
1991-07,41871,
1991-08,41130,
1991-09,39195,
1991-10,44502,
1991-11,44288,
1991-12,48653,524685
1992-01,52247,
1992-02,45888,
1992-03,44875,
1992-04,42399,
1992-05,42145,
1992-06,39573,
1992-07,41953,
1992-08,41422,
1992-09,39939,
1992-10,43817,
1992-11,42329,
1992-12,44943,521530
1993-01,49231,
1993-02,43185,
1993-03,49688,
1993-04,43686,
1993-05,42331,
1993-06,40678,
1993-07,41063,
1993-08,40987,
1993-09,40571,
1993-10,43938,
1993-11,44017,
1993-12,52888,532263
1994-01,49932,
1994-02,42613,
1994-03,44356,
1994-04,43104,
1994-05,41841,
1994-06,40573,
1994-07,43940,
1994-08,41822,
1994-09,41050,
1994-10,43503,
1994-11,41833,
1994-12,45398,519965
1995-01,48788,
1995-02,40937,
1995-03,46454,
1995-04,45670,
1995-05,43965,
1995-06,41742,
1995-07,43819,
1995-08,42078,
1995-09,40873,
1995-10,43462,
1995-11,43346,
1995-12,50484,531618
1996-01,51341,
1996-02,46604,
1996-03,47495,
1996-04,44833,
1996-05,43636,
1996-06,41237,
1996-07,42390,
1996-08,39915,
1996-09,40680,
1996-10,42725,
1996-11,43337,
1996-12,51582,535775
1997-01,59227,
1997-02,44788,
1997-03,45218,
1997-04,43954,
1997-05,42644,
1997-06,39325,
1997-07,42105,
1997-08,42519,
1997-09,39394,
1997-10,42266,
1997-11,43100,
1997-12,45779,530319
1998-01,47361,
1998-02,46023,
1998-03,51720,
1998-04,48135,
1998-05,43961,
1998-06,40956,
1998-07,41368,
1998-08,41319,
1998-09,40016,
1998-10,42846,
1998-11,42928,
1998-12,47372,534005
1999-01,51436,
1999-02,50019,
1999-03,50049,
1999-04,43339,
1999-05,42664,
1999-06,40123,
1999-07,41799,
1999-08,41012,
1999-09,39754,
1999-10,43651,
1999-11,43308,
1999-12,50507,537661
2000-01,58939,
2000-02,47747,
2000-03,45098,
2000-04,42658,
2000-05,41722,
2000-06,40568,
2000-07,41511,
2000-08,41178,
2000-09,39415,
2000-10,43417,
2000-11,42983,
2000-12,45628,530864
2001-01,49529,
2001-02,42513,
2001-03,46133,
2001-04,43594,
2001-05,44212,
2001-06,41846,
2001-07,43230,
2001-08,42518,
2001-09,40973,
2001-10,43132,
2001-11,44583,
2001-12,48810,531073
2002-01,55663,
2002-02,45849,
2002-03,46785,
2002-04,44009,
2002-05,42973,
2002-06,42132,
2002-07,42319,
2002-08,40461,
2002-09,40322,
2002-10,44243,
2002-11,43166,
2002-12,47222,535144
2003-01,50920,
2003-02,44667,
2003-03,47177,
2003-04,44479,
2003-05,42928,
2003-06,42604,
2003-07,43760,
2003-08,56550,
2003-09,41137,
2003-10,43786,
2003-11,43954,
2003-12,50377,552339
2004-01,50377,
2004-02,43446,
2004-03,44993,
2004-04,41464,
2004-05,41337,
2004-06,39021,
2004-07,39975,
2004-08,39091,
2004-09,39360,
2004-10,42660,
2004-11,41530,
2004-12,46175,509429
2005-01,48186,
2005-02,50324,
2005-03,53401,
2005-04,43365,
2005-05,42433,
2005-06,40712,
2005-07,39780,
2005-08,38870,
2005-09,38973,
2005-10,42551,
2005-11,41991,
2005-12,46947,527533
2006-01,49166,
2006-02,43380,
2006-03,45989,
2006-04,41524,
2006-05,41563,
2006-06,40776,
2006-07,43185,
2006-08,40156,
2006-09,40304,
2006-10,42500,
2006-11,42214,
2006-12,45659,516416
2007-01,49225,
2007-02,44229,
2007-03,45401,
2007-04,42342,
2007-05,41112,
2007-06,39837,
2007-07,41885,
2007-08,40044,
2007-09,39721,
2007-10,44448,
2007-11,44549,
2007-12,48223,521016
2008-01,51862,
2008-02,45865,
2008-03,46964,
2008-04,44595,
2008-05,43007,
2008-06,40723,
2008-07,41940,
2008-08,40455,
2008-09,40232,
2008-10,44280,
2008-11,42763,
2008-12,49445,532131
2009-01,58938,
2009-02,46677,
2009-03,46407,
2009-04,43550,
2009-05,42818,
2009-06,40796,
2009-07,41384,
2009-08,41066,
2009-09,40033,
2009-10,44885,
2009-11,43238,
2009-12,48324,538116
2010-01,51095,
2010-02,45770,
2010-03,47555,
2010-04,43782,
2010-05,43824,
2010-06,41654,
2010-07,42727,
2010-08,41487,
2010-09,41743,
2010-10,46043,
2010-11,44264,
2010-12,50525,540469
2011-01,52088,
2011-02,45390,
2011-03,46906,
2011-04,43075,
2011-05,43325,
2011-06,41391,
2011-07,41824,
2011-08,41861,
2011-09,41188,
2011-10,44935,
2011-11,44274,
2011-12,48538,534795
2012-01,51396,
2012-02,53590,
2012-03,52871,
2012-04,45863,
2012-05,44999,
2012-06,41724,
2012-07,42923,
2012-08,42258,
2012-09,41282,
2012-10,46174,
2012-11,45771,
2012-12,50376,559227
2013-01,55134,
2013-02,50603,
2013-03,53241,
2013-04,46036,
2013-05,44410,
2013-06,42324,
2013-07,44145,
2013-08,41622,
2013-09,41986,
2013-10,45063,
2013-11,44452,
2013-12,49392,558408
2014-01,50125,
2014-02,45757,
2014-03,48298,
2014-04,44466,
2014-05,44467,
2014-06,42107,
2014-07,43465,
2014-08,43057,
2014-09,42544,
2014-10,45419,
2014-11,45979,
2014-12,51319,547003
2015-01,57453,
2015-02,56432,
2015-03,53931,
2015-04,46769,
2015-05,45286,
2015-06,43637,
2015-07,45428,
2015-08,44737,
2015-09,43639,
2015-10,49110,
2015-11,45689,
2015-12,49659,581770
2016-01,53024,
2016-02,48480,
2016-03,53090,
2016-04,47746,
2016-05,46957,
2016-06,43412,
2016-07,45648,
2016-08,44649,
2016-09,43805,
2016-10,49297,
2016-11,48742,
2016-12,56223,581073
2017-01,66990,
2017-02,51563,
2017-03,49159,
2017-04,46089,
2017-05,47327,
2017-06,43399,
2017-07,45263,
2017-08,45556,
2017-09,45067,
2017-10,48336,
2017-11,48981,
2017-12,55876,593606
2018-01,58611,
2018-02,51137,
2018-03,59233,
2018-04,49372,
2018-05,46748,
2018-06,43940,
